民國年月日,線別,車站,電梯位置,編號,保養週期,保養時段
1150929,Bannan Line(板南線),BL11(西門站),EX6(出口6),3,1M(月檢),N(夜保)
1150929,Bannan Line(板南線),BL11(西門站),T(轉乘通道),4,1M(月檢),N(夜保)
1150917,Bannan Line(板南線),US01(西門地下街站),EX5(出口5),1,1M(月檢),D(日保)
1150917,Bannan Line(板南線),BL12(台北車站),T(轉乘通道),4,1M(月檢),D(日保)
1150926,Bannan Line(板南線),BL12(台北車站),T(轉乘通道),5,1M(月檢),N(夜保)
1150916,Bannan Line(板南線),BL12(台北車站),P(月台),6,1M(月檢),N(夜保)
1150928,Bannan Line(板南線),BL12(台北車站),T(轉乘通道),7,1M(月檢),N(夜保)
1150916,Bannan Line(板南線),BL13(善導寺站),P(月台),1,1M(月檢),N(夜保)
1150916,Bannan Line(板南線),BL13(善導寺站),EX3(出口3),2,1M(月檢),N(夜保)
1150917,Bannan Line(板南線),BL14(忠孝新生站),P(月台),1,1M(月檢),N(夜保)
1150917,Bannan Line(板南線),BL14(忠孝新生站),EX2(出口2),2,1M(月檢),N(夜保)
1150912,Bannan Line(板南線),BL14(忠孝新生站),EX3(出口3),3,1M(月檢),N(夜保)
1150918,Bannan Line(板南線),US04(東區地下街站),T(轉乘通道),1,1M(月檢),N(夜保)
1150918,Bannan Line(板南線),US04(東區地下街站),EX1(出口1),3,1M(月檢),N(夜保)
1150917,Bannan Line(板南線),BL15(忠孝復興站),P(月台),1,1M(月檢),N(夜保)
1150901,Bannan Line(板南線),BL15(忠孝復興站),T(轉乘通道),2,1Y(年檢),N(夜保)
1150918,Bannan Line(板南線),BL16(忠孝敦化站),EX2(出口2),1,1M(月檢),N(夜保)
1150921,Bannan Line(板南線),BL16(忠孝敦化站),P(月台),2,1M(月檢),N(夜保)
1150921,Bannan Line(板南線),BL17(國父紀念館站),EX3(出口3),1,1M(月檢),N(夜保)
1150922,Bannan Line(板南線),BL17(國父紀念館站),P(月台),2,1Y(年檢),N(夜保)
1150921,Bannan Line(板南線),BL17(國父紀念館站),EX5(出口5),3,1M(月檢),N(夜保)
1150923,Bannan Line(板南線),BL18(市政府站),P(月台),1,1Y(年檢),N(夜保)
1150910,Bannan Line(板南線),BL18(市政府站),EX2(出口2),2,1Y(年檢),N(夜保)
