民國年月日,線別,車站,電梯位置,編號,保養週期,保養時段
1150915,Songshan-Xindian Line(松山新店線),G03A(小碧潭站),EX1(出口1),2,1M(月檢),D(日保)
1150909,Songshan-Xindian Line(松山新店線),G04(大坪林站),P(月台),1,1M(月檢),A(日保)
1150909,Songshan-Xindian Line(松山新店線),G04(大坪林站),EX3(出口3),2,1M(月檢),A(日保)
1150909,Songshan-Xindian Line(松山新店線),G05(景美站),P(月台),1,1Y(年檢),D(日保)
1150901,Songshan-Xindian Line(松山新店線),G05(景美站),EX1(出口1),2,1M(月檢),P(日保)
1150910,Songshan-Xindian Line(松山新店線),G06(萬隆站),P(月台),1,1M(月檢),A(日保)
1150910,Songshan-Xindian Line(松山新店線),G06(萬隆站),EX4(出口4),2,1M(月檢),P(日保)
1150910,Songshan-Xindian Line(松山新店線),G07(公館站),P(月台),1,1M(月檢),P(日保)
1150910,Songshan-Xindian Line(松山新店線),G07(公館站),EX1(出口1),2,1M(月檢),A(日保)
1150918,Songshan-Xindian Line(松山新店線),G07(公館站),EX2(出口2),3,1M(月檢),D(日保)
1150911,Songshan-Xindian Line(松山新店線),G08(台電大樓站),P(月台),1,1M(月檢),P(日保)
1150911,Songshan-Xindian Line(松山新店線),G08(台電大樓站),EX5(出口5),2,1M(月檢),P(日保)
1150929,Songshan-Xindian Line(松山新店線),G09(古亭站),P(月台),1,1M(月檢),N(夜保)
1150929,Songshan-Xindian Line(松山新店線),G09(古亭站),EX1(出口1),2,1M(月檢),N(夜保)
1150911,Songshan-Xindian Line(松山新店線),G10(中正紀念堂站),P(月台),1,1M(月檢),A(日保)
1150911,Songshan-Xindian Line(松山新店線),G10(中正紀念堂站),EX5(出口5),2,1Y(年檢),D(日保)
1150910,Songshan-Xindian Line(松山新店線),G10(中正紀念堂站),EX5(出口5),3,1M(月檢),P(日保)
1150922,Songshan-Xindian Line(松山新店線),G10(中正紀念堂站),P(月台),4,1M(月檢),N(夜保)
1150923,Songshan-Xindian Line(松山新店線),G10(中正紀念堂站),EX1(出口1),5,1Y(年檢),N(夜保)
1150930,Songshan-Xindian Line(松山新店線),G11(小南門站),P(月台),1,1M(月檢),A(日保)
1150930,Songshan-Xindian Line(松山新店線),G11(小南門站),EX4(出口4),3,1M(月檢),N(夜保)
1150930,Songshan-Xindian Line(松山新店線),G11(小南門站),EX3(出口3),4,1M(月檢),P(日保)
1150921,Songshan-Xindian Line(松山新店線),G13(北門站),EX2(出口2),1,1M(月檢),N(夜保)
1150921,Songshan-Xindian Line(松山新店線),G13(北門站),EX3(出口3),2,1M(月檢),N(夜保)
1150924,Songshan-Xindian Line(松山新店線),G13(北門站),T(轉乘通道),3,1Y(年檢),D(日保)
1150924,Songshan-Xindian Line(松山新店線),G13(北門站),T(轉乘通道),4,1M(月檢),D(日保)
1150929,Songshan-Xindian Line(松山新店線),G13(北門站),T(轉乘通道),5,1M(月檢),D(日保)
1150930,Songshan-Xindian Line(松山新店線),G13(北門站),P(月台),6,1M(月檢),D(日保)
1150930,Songshan-Xindian Line(松山新店線),G13(北門站),P(月台),7,1M(月檢),D(日保)
1150930,Songshan-Xindian Line(松山新店線),G13(北門站),P(月台),8,1M(月檢),D(日保)
1150930,Songshan-Xindian Line(松山新店線),G13(北門站),P(月台),9,1M(月檢),D(日保)
1150907,Songshan-Xindian Line(松山新店線),G14(中山站),EX5(出口5),1,1M(月檢),D(日保)
1150907,Songshan-Xindian Line(松山新店線),G14(中山站),EX6(出口6),2,1M(月檢),D(日保)
1150907,Songshan-Xindian Line(松山新店線),G15(松江南京站),T(轉乘通道),1,1M(月檢),D(日保)
1150918,Songshan-Xindian Line(松山新店線),G16(南京復興站),P(月台),1,1Y(年檢),D(日保)
1150903,Songshan-Xindian Line(松山新店線),G16(南京復興站),P(月台),2,1M(月檢),N(夜保)
1150901,Songshan-Xindian Line(松山新店線),G16(南京復興站),EX1(出口1),3,1M(月檢),D(日保)
1150907,Songshan-Xindian Line(松山新店線),G16(南京復興站),EX2(出口2),4,1Y(年檢),D(日保)
1150902,Songshan-Xindian Line(松山新店線),G17(台北小巨蛋站),P(月台),1,1M(月檢),N(夜保)
1150907,Songshan-Xindian Line(松山新店線),G17(台北小巨蛋站),EX2(出口2),2,1M(月檢),D(日保)
1150909,Songshan-Xindian Line(松山新店線),G17(台北小巨蛋站),EX3(出口3),4,1M(月檢),D(日保)
1150907,Songshan-Xindian Line(松山新店線),G17(台北小巨蛋站),EX1(出口1),5,1M(月檢),D(日保)
1150921,Songshan-Xindian Line(松山新店線),G18(南京三民站),P(月台),1,1M(月檢),N(夜保)
1150921,Songshan-Xindian Line(松山新店線),G18(南京三民站),EX2(出口2),2,1M(月檢),N(夜保)
1150921,Songshan-Xindian Line(松山新店線),G18(南京三民站),EX1(出口1),3,1M(月檢),N(夜保)
1150922,Songshan-Xindian Line(松山新店線),G19(松山站),P(月台),1,1M(月檢),N(夜保)
1150921,Songshan-Xindian Line(松山新店線),G19(松山站),EX3(出口3),2,1Y(年檢),N(夜保)
1150922,Songshan-Xindian Line(松山新店線),G19(松山站),EX5(出口5),3,1M(月檢),N(夜保)
1150924,Zhonghe-Xinlu Line(中和新蘆線),O01(南勢角站),K(停車場),1,1M(月檢),N(夜保)
1150917,Zhonghe-Xinlu Line(中和新蘆線),O01(南勢角站),P(月台),2,1M(月檢),N(夜保)
1150917,Zhonghe-Xinlu Line(中和新蘆線),O01(南勢角站),EX3(出口3),3,1M(月檢),N(夜保)
1150915,Zhonghe-Xinlu Line(中和新蘆線),O01(南勢角站),K(停車場),4,1M(月檢),D(日保)
1150914,Zhonghe-Xinlu Line(中和新蘆線),O01(南勢角站),K(停車場),5,1M(月檢),D(日保)
1150916,Zhonghe-Xinlu Line(中和新蘆線),O01(南勢角站),K(停車場),6,1M(月檢),D(日保)
1150917,Zhonghe-Xinlu Line(中和新蘆線),O01(南勢角站),K(停車場),7,1M(月檢),D(日保)
1150916,Zhonghe-Xinlu Line(中和新蘆線),O02(景安站),P(月台),1,1M(月檢),N(夜保)
1150905,Zhonghe-Xinlu Line(中和新蘆線),O03(永安市場站),P(月台),1,1M(月檢),N(夜保)
1150916,Zhonghe-Xinlu Line(中和新蘆線),O03(永安市場站),P(月台),2,1M(月檢),N(夜保)
1150903,Zhonghe-Xinlu Line(中和新蘆線),O04(頂溪站),P(月台),1,1M(月檢),N(夜保)
1150904,Zhonghe-Xinlu Line(中和新蘆線),O04(頂溪站),EX1(出口1),2,1M(月檢),N(夜保)
1150911,Zhonghe-Xinlu Line(中和新蘆線),O06(東門站),P(月台),1,1M(月檢),N(夜保)
1150911,Zhonghe-Xinlu Line(中和新蘆線),O06(東門站),EX8(出口8),2,1M(月檢),N(夜保)
1150912,Zhonghe-Xinlu Line(中和新蘆線),O07(忠孝新生站),P(月台),4,1M(月檢),N(夜保)
1150914,Zhonghe-Xinlu Line(中和新蘆線),O08(松江南京站),P(月台),1,1M(月檢),N(夜保)
1150914,Zhonghe-Xinlu Line(中和新蘆線),O08(松江南京站),P(月台),2,1M(月檢),N(夜保)
1150903,Zhonghe-Xinlu Line(中和新蘆線),O08(松江南京站),EX8(出口8),3,1M(月檢),N(夜保)
1150903,Zhonghe-Xinlu Line(中和新蘆線),O08(松江南京站),EX2(出口2),4,1M(月檢),N(夜保)
1150912,Zhonghe-Xinlu Line(中和新蘆線),O09(行天宮站),P(月台),1,1M(月檢),N(夜保)
1150904,Zhonghe-Xinlu Line(中和新蘆線),O09(行天宮站),EX2(出口2),2,1Y(年檢),N(夜保)
1150919,Zhonghe-Xinlu Line(中和新蘆線),O10(中山國小站),P(月台),1,1M(月檢),N(夜保)
